case:concept:name,concept:name,user,time:timestamp
35,a,u6,2016-04-12 10:00:12
35,b,u7,2016-04-12 18:21:32
35,d,u8,2016-04-13 13:27:41
35,e,u6,2016-04-18 19:14:14
35,g,u2,2016-04-19 16:48:16

36,a,u6,2016-04-12 10:00:12
36,c,u7,2016-04-12 18:21:32
36,d,u8,2016-04-13 13:27:41
36,f,u6,2016-04-18 19:14:14
36,g,u2,2016-04-19 16:48:16

37,a,u6,2016-04-12 10:00:12
37,b,u7,2016-04-12 18:21:32
37,d,u8,2016-04-13 13:27:41
37,e,u6,2016-04-18 19:14:14
37,g,u2,2016-04-19 16:48:16

38,a,u6,2016-04-12 10:00:12
38,c,u7,2016-04-12 18:21:32
38,d,u8,2016-04-13 13:27:41
38,f,u6,2016-04-18 19:14:14
38,g,u2,2016-04-19 16:48:16

39,a,u6,2016-04-12 10:00:12
39,c,u7,2016-04-12 18:21:32
39,d,u8,2016-04-13 13:27:41
39,f,u2,2016-04-19 16:48:16
39,g,u2,2016-04-19 16:48:16

40,a,u6,2016-04-12 10:00:12
40,b,u7,2016-04-12 18:21:32
40,d,u8,2016-04-13 13:27:41
40,e,u6,2016-04-18 19:14:14
40,g,u2,2016-04-19 16:48:16
